,strateos_id,name,is_tube,well_count,well_depth_mm,well_volume_ul,well_coating,sterile,cover_types,seal_types,capabilities,shortname,col_count,dead_volume_ul,safe_min_volume_ul,true_max_vol_ul,vendor,cat_no,prioritize_seal_or_cover
24,PCR96,96-well PCR plate,False,96,,160:microliter,,,,"['ultra-clear', 'foil']","['liquid_handle', 'sangerseq', 'spin', 'thermocycle', 'incubate', 'gel_separate', 'gel_purify', 'seal', 'dispense']",96-pcr,12,3:microliter,5:microliter,160:microliter,Eppendorf,951020619,seal
25,PCR96FSC,"96-well Polypropylene PCR Microplate, Full Skirt, Clear, Nonsterile",False,96,14.6,200:microliter,,False,,"['ultra-clear', 'foil']","['liquid_handle', 'sangerseq', 'spin', 'thermocycle', 'incubate', 'gel_separate', 'gel_purify', 'seal', 'dispense']",96-pcr-fs-clear,12,3:microliter,5:microliter,200:microliter,Axygen,PCR-96-FS-C,seal
26,RESMW12HP,12-column multiwell highprofile reservoir,False,12,,15.75:milliliter,,False,['universal'],,"['liquid_handle', 'incubate', 'cover', 'dispense', 'liquid_handle']",res-mw12-hp,12,1.8:milliliter,5:milliliter,21:milliliter,Axygen,res-mw12-hp,seal
27,RESMW8HP,8-row multiwell highprofile reservoir,False,8,,24:milliliter,,False,['universal'],,"['liquid_handle', 'incubate', 'cover', 'dispense', 'liquid_handle']",res-mw8-hp,1,2.5:milliliter,5:milliliter,32:milliliter,Axygen,res-mw8-hp,seal
28,RESSW384LP,384-well singlewell lowprofile reservoir,False,1,,35:milliliter,,False,['universal'],,"['liquid_handle', 'incubate', 'cover', 'dispense', 'liquid_handle', 'sbs384_compatible']",res-sw384-lp,1,10:milliliter,30:milliliter,92:milliliter,Axygen,res-sw384-lp,seal
29,RESSW96HP,96-well singlewell highprofile reservoir,False,1,,170:milliliter,,False,['universal'],,"['liquid_handle', 'incubate', 'cover', 'dispense', 'liquid_handle']",res-sw96-hp,1,25:milliliter,30:milliliter,280:milliliter,Axygen,res-sw96-hp,seal
30,ROUND384CLEAR,384-well round-bottom plate,False,384,,70:microliter,,False,"['universal', 'standard']","['ultra-clear', 'foil']","['incubate', 'seal', 'image_plate', 'liquid_handle', 'dispense', 'spin', 'mag_dry', 'mag_incubate', 'mag_collect', 'mag_release', 'mag_mix', 'absorbance', 'fluorescence', 'luminescence', 'cover', 'thermocycle']",384-round-clear-clear,24,15:microliter,20:microliter,70:microliter,Corning,3657,seal
31,V384CLEAR,384-well v-bottom polypropylene plate,False,384,,120:microliter,,False,"['universal', 'standard']","['ultra-clear', 'foil']","['incubate', 'seal', 'image_plate', 'liquid_handle', 'dispense', 'spin', 'mag_dry', 'mag_incubate', 'mag_collect', 'mag_release', 'mag_mix', 'absorbance', 'fluorescence', 'luminescence', 'cover', 'thermocycle']",384-v-clear-clear,24,13:microliter,18:microliter,120:microliter,Greiner,781280,seal
32,V96CC,"96-well cell culture multiple well plate, V bottom",False,96,10.668,200:microliter,,True,"['standard', 'universal', 'low_evaporation', 'ultra-clear', 'foil']",,"['dispense', 'spin', 'seal', 'unseal', 'liquid_handle', 'cover', 'echo_dest', 'spectrophotometry', 'image_plate', 'incubate', 'uncover', 'dispense-destination', 'envision', 'absorbance', 'fluorescence']",96-well-v-bottom,12,75:microliter,5:microliter,320:microliter,Corning,3894,seal
33,V96KF,96-well v-bottom King Fisher plate,False,96,,200:microliter,,False,['standard'],,"['liquid_handle', 'incubate', 'gel_separate', 'mag_dry', 'mag_incubate', 'mag_collect', 'mag_release', 'mag_mix', 'cover', 'dispense']",96-v-kf,12,20:microliter,20:microliter,200:microliter,Fisher,22-387-030,seal
