Id;Vendor;Catalog Number;Name;Retired At;Well Count;Well Depth (mm);Height (mm);Well Volume (ul);Column Count;Capabilities;Acceptable Lids;Sale Price
conical-15;Greiner;188261;15mL Conical;-;1;0;-;15000;1;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap;*$0.75*
micro-2.0;E&K Scientific;280200;2mL Microcentrifuge tube;-;1;37.5;-;2200;1;flash_freeze, incubate, maxiprep_destination, miniprep_destination, sanger_sequence_primer, spin, spin;;*$0.06*
mrv-small;unknown;unknown;Small MRV;-;1;82.25;83.35;2000;1;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$1.19*
6-flat-tc;Eppendorf;30720113;6-Well TC Treated Sterile Plate;-;6;16.5;19;5000;3;colonize, dispense-destination, envision, image_plate, incubate;standard, universal;*$4.82*
hplc-vial;unknown;unknown;HPLC Vial;-;1;31.4;33.73;2000;1;agitate, cover, dispense, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$1.19*
96-ubottom-clear-tc;Corning;353077;Falcon 96-Well, Cell Culture-Treated, U-Shaped-Bottom Microplate;-;96;10.59;14.6;320;12;cover, dispense-destination, incubate, pipette, provision, seal, spin, stamp, uncover, unseal;low_evaporation, standard, universal, ultra-clear, foil;*$0.00*
96-deep-kf;Fisher;22-387-031;96-Well KingFisher Deepwell Plate V-bottom Polypropylene;-;96;42.3;44;1000;12;cover, deseal, dispense-destination, image_plate, incubate, magnetic_transfer_deep, pipette, seal, spin, stamp, uncover;standard;*$9.82*
384-flat-white-white-tc;Corning;3570;384-Well Low Flange White Flat Bottom Polystyrene TC-Treated Microplate;-;384;11.43;14.22;80;24;absorbance, cover, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, luminescence, pipette, spin, stamp, uncover;standard, universal;*$9.58*
tube-15;Greiner;188261;15 mL centrifuge tube;2/27/2018;1;0;-;2200;1;spin;;*$0.00*
bottle-500;not_applicable;not_applicable;500mL Bottle;-;1;0;-;500000;1;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap;*$1.13*
96-pcr;Eppendorf;951020619;96-Well twin.tec PCR Plate;-;96;14.6;15.9;160;12;bluewash, dispense-destination, echo_dest, envision, flash_freeze, image_plate, incubate, magnetic_separate, magnetic_transfer_pcr, miniprep_destination, qrt_thermocycle, sanger_sequence, seal, spin, stamp, thermocycle;ultra-clear, foil, breathable, low_evaporation;*$4.93*
micro-1.5;USA Scientific;1615-5500;1.5mL Microcentrifuge tube;-;1;36;-;1650;1;flash_freeze, incubate, maxiprep_destination, miniprep_destination, sanger_sequence_primer, spin, spin;;*$0.06*
384-round-clear-clear;Corning;3657;384-Well Clear Round Bottom Polypropylene Not Treated Microplate;-;384;11.57;14.22;70;24;cover, deseal, dispense-destination, echo_dest, envision, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;universal, standard, ultra-clear, foil;*$5.65*
6-flat;Eppendorf;30720016;6-Well Non-Treated Sterile Plate;-;6;16.5;19;5000;3;colonize, dispense-destination, envision, image_plate, incubate;standard, universal;*$4.50*
mrv-medium;unknown;unknown;Medium MRV;-;1;81.5;83.5;5000;1;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$1.19*
384-flat-white-white-proxiplate-plus;PerkinElmer;6008280;384-well flat-bottom polystyrene proximity plus plate;-;384;5.3;14.35;28;24;cover, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover, unseal;universal, ultra-clear, foil;*$9.69*
96-well-v-bottom;Corning;3894;96-well cell culture multiple well plate, V bottom;-;96;10.668;3.25;200;12;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil;*$0.00*
flask-250;not_applicable;not_applicable;250mL Flask;-;1;0;-;250000;1;cover, dispense-source, incubate, maxiprep_source, provision, seal, spin, transfer, uncover;screw-cap;*$1.19*
384-flat-white-clear;Corning;3763;384-well flat-bottom polystyrene plate;-;384;11.56;14.22;90;24;absorbance, bluewash, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, gel_purify, gel_separate, incubate, luminescence, pipette, seal, spin, stamp, uncover, unseal;standard, universal, ultra-clear;*$13.73*
96-flat-clear-clear-tc;Eppendorf;30730119;96-Well Flat TC-Treated Polystyrene Microplate;-;96;11.3;14.4;340;12;cover, dispense-destination, envision, gel_purify, gel_separate, incubate, pipette, spin, stamp;low_evaporation, standard, universal;*$3.11*
res-sw384-lp;Axygen;res-sw384-lp;1-Well Reagent Reservoir with 384-Bottom Troughs, Low Profile;-;1;11.96;19.05;92000;1;cover, dispense, incubate, liquid_handle, pipette, stamp;universal;*$10.15*
res-mw8-hp;Axygen;res-mw8-hp;Multiple Well Reagent Reservoir with 8-Channel Trough, High Profile;-;8;39.1;43.8;32000;1;cover, dispense-destination, incubate, liquid_handle, uncover;universal;*$8.35*
384-ubottom-clear-polypropylene-nunc-264573;ThermoFisher;264573;Nunc 384-Well Polypropylene U-Bottom Natural Color Storage Microplate;-;384;11.7;14.4;120;24;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil;*$9.95*
384-echo-ldv;Labcyte;LP-0200;384-well Echo low dead volume plate;-;384;5.1;10.48;14;24;absorbance, bluewash, colonize, cover, dispense, echo_dest, echo_source, flash_freeze, fluorescence, image_plate, incubate, luminescence, magnetic_separate, magnetic_transfer_deep, magnetic_transfer_pcr, maxiprep_destination, maxiprep_source, miniprep_destination, miniprep_source, pipette, qrt_thermocycle, sanger_sequence, sanger_sequence_primer, seal, spin, stamp, thermocycle, uncover;universal, foil, ultra-clear;*$16.28*
384-round-black-black-lv-nbs;Corning;4514;Corning 4514 384-well Low Volume Black Round Bottom Polystyrene NBS Microplate;-;384;6.58;14.22;35;24;cover, deseal, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover;universal, foil, ultra-clear;*$17.85*
1-flat;Fisher;267060;1-Well Nunc Non-treated Flat Bottom Plate;-;1;11.6;17.3;90000;1;colonize, envision, image_plate, incubate;universal;*$5.60*
96-vbottom-microwell;Fisher;249944;96 vbottom microwell lcms plate;-;96;10.5;14.7;400;12;absorbance, agitate, cover, dispense, dispense-destination, echo_dest, envision, evaporate, fluorescence, image, image_plate, incubate, lcms, liquid_handle, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, ultra-clear, foil, breathable, low_evaporation;*$0.00*
384-flat-black-black-proxiplate-plus-f;PerkinElmer;6008260;384-well black flat-bottom polystyrene proximity plus plate;-;384;5.3;14.35;28;24;cover, deseal, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover, unseal;universal, ultra-clear, foil;*$10.15*
384-flat;Corning;3706;384-Well Clear Bottom White Polystyrene Microplate;-;384;11.43;14.22;90;24;absorbance, bluewash, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, luminescence, spin, stamp;standard, universal;*$13.73*
24-deep;E&K Scientific;EK-2053-S;24-Well Pyramid Bottom Plate;-;24;42;44.04;10000;6;deseal, dispense-destination, image_plate, incubate, seal;foil, breathable;*$9.23*
384-flat-clear-clear;Corning;3700;384-Well Clear Flat Bottom Polystyrene High Bind Microplate;-;384;11.43;14.2;80;24;absorbance, bluewash, cover, dispense-destination, envision, flash_freeze, fluorescence, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;standard, universal, low_evaporation, ultra-clear, foil;*$8.22*
